,cause_0,effect_0,cause_1,effect_1,label
274,The woman was deemed mentally ill.,She was sent to a psychiatric institution.,The woman was deemed mentally ill.,She sought a career as a psychiatrist.,0
275,The sun emerged from the clouds.,The woman glanced at her watch.,The sun emerged from the clouds.,The woman took her sweater off.,1
276,He yelled whenever a player fumbled the ball.,The football coach lost his voice after the game.,He whistled whenever a player scored a touchdown.,The football coach lost his voice after the game.,0
277,The woman complimented the man.,He sneezed.,The woman complimented the man.,He blushed.,1
278,I applied pressure to the cut on my arm.,It healed.,I applied pressure to the cut on my arm.,It stopped bleeding.,1
279,The woman had an infection.,She took antibiotics.,The woman had an infection.,She washed her hands.,0
280,She installed the air conditioner in the room.,The woman fanned herself with her hand.,The air conditioner in the room broke.,The woman fanned herself with her hand.,1
281,It was badly bruised.,The doctors amputated the patient's leg.,It was severely infected.,The doctors amputated the patient's leg.,1
282,She felt self-conscious.,The girl stared at herself in the mirror.,The mirror was smudged.,The girl stared at herself in the mirror.,0
283,He went camping in the woods.,The man was bitten by mosquitoes.,He fell asleep on his couch.,The man was bitten by mosquitoes.,0
284,The woman presented her brother with a gift.,Her brother refused to accept the gift.,The woman presented her brother with a gift.,Her brother unwrapped the gift.,1
285,The administrator cleared her throat.,The meeting was postponed.,The administrator cleared her throat.,The meeting commenced.,1
286,They ate popsicles.,The children ran through the sprinkler.,They were hot.,The children ran through the sprinkler.,1
287,The man needed coins to fill the parking meter.,He searched under his car seats for loose change.,The man needed coins to fill the parking meter.,He begged people on the street for loose change.,0
288,The customer thought the souvenir was overpriced.,The vender sold it to him.,The customer thought the souvenir was overpriced.,He bargained with the vendor.,1
289,She discovered a new species.,The scientist gained recognition.,She received tenure at the university.,The scientist gained recognition.,0
290,The car stopped at the crosswalk.,The pedestrian crossed the road.,The car stopped at the crosswalk.,The pedestrian waited on the sidewalk.,0
291,His brother tickled him.,The boy giggled uncontrollably.,His brother kicked him.,The boy giggled uncontrollably.,0
292,My knees buckled on the stairs.,I caught myself on the railing.,My knees buckled on the stairs.,The railing came loose from the wall.,0
293,It was a clear night.,I went to bed.,It was late.,I went to bed.,1
294,My friend was recovering from surgery.,I dropped her off at the hospital.,My friend was recovering from surgery.,I brought her a card and flowers.,1
295,The DJ turned the music on.,People left the party.,The DJ turned the music on.,People began to dance.,1
296,The surveillance camera was out of focus.,The security guard replayed the surveillance footage.,He noticed some suspicious activity.,The security guard replayed the surveillance footage.,1
297,I was hungry.,I lingered in bed upon awakening.,It was Saturday.,I lingered in bed upon awakening.,1
298,The man lifted the heavy box.,He put out his back.,The man lifted the heavy box.,He scratched his back.,0
299,It contained a lot of junk.,The woman's purse was missing.,She left it unsupervised.,The woman's purse was missing.,1
300,She had an allergic reaction.,The woman suffered amnesia.,She got into a car accident.,The woman suffered amnesia.,1
301,I needed to get cash.,I went to the bank.,I needed to get cash.,I bought a wallet.,0
302,The bull bucked the rider.,The rider fell to the ground.,The bull chased the rider.,The rider fell to the ground.,0
303,The boy wanted to be muscular.,He lifted weights.,The boy wanted to be muscular.,He played computer games.,0
304,The scientist conducted an experiment.,She validated her theory.,The scientist conducted an experiment.,She fabricated her data.,0
305,It was pasteurized.,The milk stayed cold.,I stored it in the refrigerator.,The milk stayed cold.,1
306,The parents shook a rattle in front of the baby.,The fussy baby calmed down.,The parents picked out a name for the baby.,The fussy baby calmed down.,0
307,I put ice cubes in the hot soup.,The soup cooled down.,I put ice cubes in the hot soup.,The soup became thick.,0
308,Her friend forgot to bring his lunch.,The girl shared her lunch with her friend.,Her friend sat next to her at lunch.,The girl shared her lunch with her friend.,0
309,They apprehended the suspect.,The police closed the investigation.,The victim recovered.,The police closed the investigation.,0
310,The rain subsided.,I went for a walk.,The rain subsided.,I browsed the internet.,0
311,The cup of tea was scalding hot.,I blew on it.,The cup of tea was scalding hot.,I poured it out.,0
312,It was fake.,The photograph faded.,It was old.,The photograph faded.,1
313,The bully mocked the boy.,The boy got a black eye.,The bully punched the boy.,The boy got a black eye.,1
314,I misplaced my wallet.,I retrieved my phone.,I misplaced my wallet.,I retraced my steps.,1
315,The hunter ran out of ammunition.,He reloaded the gun.,The hunter ran out of ammunition.,He aimed at the deer.,0
316,I ran the ice cube under warm water.,The ice cube stuck to my fingers.,I ran the ice cube under warm water.,The ice cube vanished.,1
317,She left her wallet at home.,The customer came into the boutique.,The window display caught her eye.,The customer came into the boutique.,1
318,His meal was cold.,The man drank water with his meal.,His meal was spicy.,The man drank water with his meal.,1
319,She was contagious.,The woman stayed away from public places.,She was intoxicated.,The woman stayed away from public places.,0
320,The putrid odor filled the room.,I clamped my hand over my nose.,The putrid odor filled the room.,I put the rubber gloves on.,0
321,Her family got in touch with her.,The employee missed work.,There was a death in her family.,The employee missed work.,1
322,The magnet attracted the paperclip.,The paperclip dropped from the magnet.,The magnet attracted the paperclip.,The paperclip stuck to the magnet.,1
323,The gardener pulled the weeds.,The weeds came out of the soil.,The gardener pulled the weeds.,The weeds produced seeds.,0
324,We ordered a pizza.,The pizza was delivered.,We ordered a pizza.,The pizza got cold.,0
325,He went through a growth spurt.,The teenager grew taller than his father.,He joined the basketball team.,The teenager grew taller than his father.,0
326,The procedure was costly.,The patient underwent the risky medical procedure.,Specialists recommended the procedure.,The patient underwent the risky medical procedure.,1
327,The man caught his shirtsleeve on the rungs of the fence.,He hopped the fence.,The man caught his shirtsleeve on the rungs of the fence.,The sleeve ripped.,1
328,He left a note.,The investigators deemed the man's death a suicide.,He had children.,The investigators deemed the man's death a suicide.,0
329,I backed up my files.,The computer crashed.,I downloaded a virus.,The computer crashed.,1
330,She lost a tooth.,The girl's mouth ached.,She swallowed her gum.,The girl's mouth ached.,0
331,The room was dim.,I opened the blinds.,The room was dim.,I washed the windows.,0
332,She learned to walk.,The father put his daughter in her stroller.,He was tired of carrying her.,The father put his daughter in her stroller.,1
333,The spy bugged the enemy's phone.,The spy discovered the enemy's location.,The spy was hired by the government.,The spy discovered the enemy's location.,0
334,The child drew on the table.,The glasses on the table spilled.,The child yanked the tablecloth.,The glasses on the table spilled.,1
335,The water in the teapot started to boil.,The teapot cooled.,The water in the teapot started to boil.,The teapot whistled.,1
336,She wanted attention.,The woman exaggerated the details of the story.,She felt shy.,The woman exaggerated the details of the story.,0
337,The woman hit a midlife crisis.,She retired.,The woman hit a midlife crisis.,She went sky diving.,1
338,The man went into denial about the tragedy.,He got over it easily.,The man went into denial about the tragedy.,He refused to talk about it.,1
339,His wife criticized him.,The man grieved.,His mother passed away.,The man grieved.,1
340,She rescued an abandoned dog.,The girl had a phobia of dogs.,She was bitten by a dog.,The girl had a phobia of dogs.,1
341,I made a resolution to eat a healthy diet.,I attended a yoga class.,I made a resolution to eat a healthy diet.,I bought fruits and vegetables.,1
342,He suffered emotional trauma.,The patient went into a coma.,He suffered brain damage.,The patient went into a coma.,1
343,The friends' dinnertime conversation turned to politics.,The conversation quieted down.,The friends' dinnertime conversation turned to politics.,A debate erupted.,1
344,The mother needed help looking after her children.,She sent the children to daycare.,The mother needed help looking after her children.,She gave up custody of the children.,0
345,The man wanted to save money.,He withdrew money from his savings account.,The man wanted to save money.,He cut back on making frivolous purchases.,1
346,The floor contained broken glass.,I put shoes on.,The paint on the walls was wet.,I put shoes on.,0
347,I requested the librarian's help.,The librarian located the book in the stacks.,The book was checked out.,The librarian located the book in the stacks.,0
348,She squatted down.,The mother became eye level with her son.,She held his hand.,The mother became eye level with her son.,0
349,I was hunting for a new apartment.,I packed up my belongings.,I was moving out of my apartment.,I packed up my belongings.,1
350,The girl desired her parent's approval.,She ran away from home.,The girl desired her parent's approval.,She obeyed her parent's rules.,1
351,The truck crashed into the motorcycle on the bridge.,The motorcyclist died.,The truck crashed into the motorcycle on the bridge.,The bridge collapsed.,0
352,The swimmer won the race.,She received a gold medal.,The swimmer won the race.,Her team lost the meet.,0
353,Factories increased their production.,Air pollution in the city worsened.,Factories shut down.,Air pollution in the city worsened.,0
354,Her daughter burped at the kitchen table.,The mother scolded her daughter.,Her daughter set the kitchen table.,The mother scolded her daughter.,0
355,I turned off my phone.,I excused myself from the group.,My phone rang.,I excused myself from the group.,1
356,She dropped her ski poles.,The skier slipped on the slope.,She hit a patch of ice.,The skier slipped on the slope.,1
357,The print on the brochure was tiny.,The man put his glasses on.,The print on the brochure was tiny.,The man retrieved a pen from his pocket.,0
358,I flipped the light switch up and down.,The light faded.,I flipped the light switch up and down.,The light flickered.,1
359,The man's watch was broken.,He waited at the bus stop.,The man's watch was broken.,He asked a stranger for the time.,1
360,They were armed with rifles.,The soldiers were concealed in the brush.,They wore camouflage uniforms.,The soldiers were concealed in the brush.,1
361,The man turned on the faucet.,The toilet filled with water.,The man turned on the faucet.,Water flowed from the spout.,1
362,The girl found a bug in her cereal.,She poured milk in the bowl.,The girl found a bug in her cereal.,She lost her appetite.,1
363,The woman retired.,She received her pension.,The woman retired.,She paid off her mortgage.,0
364,I wanted to conserve energy.,I swept the floor in the unoccupied room.,I wanted to conserve energy.,I shut off the light in the unoccupied room.,1
365,The cook froze it.,The hamburger meat browned.,The cook grilled it.,The hamburger meat browned.,1
366,I doubted the salesman's pitch.,I turned his offer down.,I doubted the salesman's pitch.,He persuaded me to buy the product.,0
367,The forecast called for storms.,I decided to stay home for the night.,My friends urged me to go out.,I decided to stay home for the night.,0
368,I was sobbing.,My eyes became red and puffy.,I was laughing.,My eyes became red and puffy.,0
369,I blew on the wick.,The flame on the candle went out.,I put a match to the wick.,The flame on the candle went out.,0
370,The man drank heavily at the party.,He had a headache the next day.,The man drank heavily at the party.,He had a runny nose the next day.,0
371,The man rolled the bowling ball down the alley.,The bowling ball knocked over the bowling pins.,The man dropped the bowling ball on his foot.,The bowling ball knocked over the bowling pins.,0
372,His family buried him in the cemetery.,The community learned of the man's death.,His obituary appeared in the newspaper.,The community learned of the man's death.,1
373,My computer crashed.,I installed new speakers.,My computer crashed.,I lost all my data.,1
374,She aspired to hold an executive position in the firm.,The woman resigned from her job.,She believed her superiors were acting unethically.,The woman resigned from her job.,1
375,The courtroom broke into uproar.,The judge pounded the gavel.,The jury announced its verdict.,The judge pounded the gavel.,0
376,They accepted ransom money.,The kidnappers released the hostage.,They escaped from jail.,The kidnappers released the hostage.,0
377,He ran out of onions.,The cook's eyes watered.,He cut an onion.,The cook's eyes watered.,1
378,She burned her finger on the toaster.,The woman ran her finger under cold water.,She put a diamond ring on her finger.,The woman ran her finger under cold water.,0
379,The student misspelled the word.,The teacher corrected her.,The student misspelled the word.,The teacher dismissed her.,0
380,My heart pounded.,I regained composure from my fit of anger.,I took deep breaths.,I regained composure from my fit of anger.,1
381,I put my hands under the running faucet.,The soap rinsed off my hands.,I put my hands under the running faucet.,The water splashed in my face.,0
382,He scheduled a meeting with an important client.,The man dressed in his best suit.,His wife bought him a new tie.,The man dressed in his best suit.,0
383,The man confessed his love for the woman.,The woman rejected him.,The man confessed his love for the woman.,The woman envied him.,0
384,He went over the speed limit.,The driver got a flat tire.,He ran over a nail.,The driver got a flat tire.,1
385,The couple behind me was whispering.,My view of the movie screen was blocked.,A tall person was sitting in front of me.,My view of the movie screen was blocked.,1
386,The girl refused to eat her vegetables.,Her father told her to drink her milk.,The girl refused to eat her vegetables.,Her father took away her dessert.,1
387,The secretary put the caller on hold.,The caller's phone lost reception.,The secretary put the caller on hold.,The caller waited on the line.,1
388,She shaved her legs.,The woman walked with crutches.,She broke her leg.,The woman walked with crutches.,1
389,It was the top of the hour.,The clock chimed.,The hour seemed to drag on.,The clock chimed.,0
390,The chef hit the egg on the side of the bowl.,The egg cracked.,The chef hit the egg on the side of the bowl.,The egg rotted.,0
391,They were trying to elicit a confession.,The police searched the offender's car.,They were looking for illegal drugs.,The police searched the offender's car.,1
392,They were retired.,The couple travelled south for the winter.,They were separated.,The couple travelled south for the winter.,0
393,He turned down his friend's invitation to go.,The man felt obligated to attend the event.,He promised his friend that he would go.,The man felt obligated to attend the event.,1
394,The man grew old.,His hair turned gray.,The man grew old.,He sold his belongings.,0
395,The friends decided to share the hamburger.,They cut the hamburger in half.,The friends decided to share the hamburger.,They ordered fries with the hamburger.,0
396,I twisted the cap off the soda bottle.,The soda fizzed.,I twisted the cap off the soda bottle.,The soda leaked out.,0
397,The students both received excellent grades.,The pair of students came under scrutiny by the teacher.,Their responses on the assignment were identical.,The pair of students came under scrutiny by the teacher.,1
398,The student was in a rush to get to school on time.,He left his assignment at home.,The student was in a rush to get to school on time.,He brought his lunch to school.,0
399,The humanitarian was difficult for the journalist to interview.,The journalist wrote a biography about the humanitarian's life.,The journalist was intrigued by the humanitarian's work.,The journalist wrote a biography about the humanitarian's life.,1
400,The man defied the authorities of the church.,He donated money to the church.,The man defied the authorities of the church.,He was excommunicated from the church.,1
401,The woman's hair fell in her face.,She pulled her hair back with a clip.,The woman's hair fell in her face.,She lathered shampoo into her hair.,0
402,My finger swelled.,The ring on my finger got stuck.,I chipped my fingernail.,The ring on my finger got stuck.,0
403,I pulled the rubber band.,It flung across the room.,I pulled the rubber band.,It stretched.,1
404,I brushed against poison ivy in my yard.,My skin broke out into a rash.,I eradicated the poison ivy from my yard.,My skin broke out into a rash.,0
405,My subscription to the magazine expired.,I discarded the new issue.,My subscription to the magazine expired.,I stopped receiving new issues.,1
406,The detective revealed an anomaly in the case.,He finalized his theory.,The detective revealed an anomaly in the case.,He scrapped his theory.,1
407,His brother took his toys from him.,The boy threw a temper tantrum.,He shared his toys with his brother.,The boy threw a temper tantrum.,0
408,He began attending school.,The child learned how to read.,He skipped a grade in school.,The child learned how to read.,0
409,His mother cooked his favorite meal.,The boy skipped dinner.,He ate a big lunch.,The boy skipped dinner.,1
410,She wanted to ask her friend for a favor.,The woman lavished her friend with flattery.,She was irritated with her friend's whining.,The woman lavished her friend with flattery.,0
411,The pocket had a hole.,The key was missing from my pants pocket.,The pants were new.,The key was missing from my pants pocket.,0
412,He took a nap.,The man fainted.,He ran a marathon.,The man fainted.,1
413,The competition was sabotaged.,The man lost the competition.,He intimidated his competitors.,The man lost the competition.,0
414,Her son lost his cat.,The mother called an ambulance.,Her son fell out of his bed.,The mother called an ambulance.,1
415,A deer appeared on the road.,The driver slammed on his brakes.,The car radio shut off.,The driver slammed on his brakes.,0
416,I turned the key in the lock.,The lock opened.,I made a duplicate of the key.,The lock opened.,0
417,I was preparing to wash my hands.,I put rubber gloves on.,I was preparing to clean the bathroom.,I put rubber gloves on.,1
418,Their habitat was destroyed.,The animal species became endangered.,Their predators went extinct.,The animal species became endangered.,0
419,The woman got her hair cut.,The man perceived that the woman looked different.,The woman wore a bracelet.,The man perceived that the woman looked different.,0
420,The student forgot to do her assignment.,She made up an excuse to tell the teacher.,The student forgot to do her assignment.,The teacher promoted her to the next grade.,0
421,The cat lounged on the couch.,The dog barked.,A knock sounded at the door.,The dog barked.,1
422,Plans were announced to replace a local park with a shopping mall.,Environmentalists started a petition.,Plans were announced to replace a local park with a shopping mall.,Environmentalists produced a documentary.,0
423,He insulted her.,The woman asked the man to leave.,He thanked her.,The woman asked the man to leave.,0
424,The tree branch landed in the river.,The branch moved downstream.,The tree branch landed in the river.,The river's current became stronger.,0
425,The teacher assigned homework to the students.,The students passed notes.,The teacher assigned homework to the students.,The students groaned.,1
426,The seasons changed from summer to autumn.,People evacuated their homes.,The seasons changed from summer to autumn.,Leaves fell from the trees.,1
427,The politician was convicted of fraud.,He campaigned for re-election.,The politician was convicted of fraud.,He was removed from office.,1
428,I pushed the wagon.,The objects in the wagon fell out.,I pushed the wagon.,The wagon wheels spun forward.,1
429,The lobbyist persuaded the legislature to support the bill.,The president vetoed the bill.,The lobbyist persuaded the legislature to support the bill.,The legislature passed the bill.,1
430,My closet was messy.,I organized it.,My closet was messy.,I decorated it.,0
431,I stayed up late.,I had vivid dreams that night.,I stayed up late.,I was tired in the morning.,1
432,His pocket was filled with coins.,The man's pocket jingled as he walked.,He sewed the hole in his pocket.,The man's pocket jingled as he walked.,0
433,The student's phone rang.,Everyone in the class turned to stare at the student.,The student took notes.,Everyone in the class turned to stare at the student.,0
434,A fly bit the horse.,The horse bucked.,The rider stroked the horse.,The horse bucked.,0
435,The jewelry thieves were caught.,The stolen jewelry was returned to its owners.,The jewelry thieves were caught.,The cost of the stolen jewelry was calculated.,0
436,Political violence broke out in the nation.,Many citizens relocated to the capitol.,Political violence broke out in the nation.,Many citizens took refuge in other territories.,1
437,She checked into rehab.,The woman was arrested.,She committed assault.,The woman was arrested.,1
438,The woman read the newspaper.,She discovered the outcome of the election.,The woman read the newspaper.,She casted a vote in the election.,0
439,The sick child coughed on his friend.,His friend got sick.,The sick child coughed on his friend.,His friend sneezed.,0
440,The woman planned to buy a condo.,The woman contacted the real estate agent.,The woman needed to clean her house.,The woman contacted the real estate agent.,0
441,I lit the candle.,Wax dripped off the candle.,I lit the candle.,The wax on the candle hardened.,0
442,I spent the day at the pool.,I sprained my ankle.,I spent the day at the pool.,My face got sunburned.,1
443,He parallel parked on the street.,The man received a parking ticket.,The parking meter expired.,The man received a parking ticket.,1
444,The woman became famous.,Photographers followed her.,The woman became famous.,Her family avoided her.,0
445,I went to a museum.,My ears were ringing.,I went to a concert.,My ears were ringing.,1
446,I was swamped with work.,I tidied up my house.,I was expecting company.,I tidied up my house.,1
447,The airline mishandled my luggage.,They offered me compensation.,The airline mishandled my luggage.,They cancelled my flight.,0
448,The computer was expensive to fix.,I got it repaired.,The computer was expensive to fix.,I bought a new one.,1
449,The woman was in a bad mood.,She engaged in small talk with her friend.,The woman was in a bad mood.,She told her friend to leave her alone.,1
