,cause_0,effect_0,cause_1,effect_1,label
280,My breath smelled of garlic.,I wiped my mouth.,My breath smelled of garlic.,I brushed my teeth.,1
281,My lips were covered in garlic.,I wiped my mouth.,My lips were covered in garlic.,I brushed my teeth.,0
282,The man was lost.,He asked for directions.,The man was lost.,He drew a map.,0
283,The man was local.,He drew a map.,The man was local.,He asked for directions.,0
284,The baby pulled the mother's hair.,The mother grimaced.,The baby pulled the mother's hair.,The baby burped.,0
285,The mother patted the baby's back.,The mother grimaced.,The mother patted the baby's back.,The baby burped.,1
286,I stood on one foot.,My balance wavered.,I stood on one foot.,I kneeled down.,0
287,I was tired of standing.,I kneeled down.,I was tired of standing.,My balance wavered.,0
288,I pushed the gas pedal.,The car accelerated.,I pushed the gas pedal.,The car door opened.,0
289,I pulled on the knob.,The car door opened.,I pulled on the knob.,The car accelerated.,0
290,I jumped the battery.,My car was towed.,I parked illegally.,My car was towed.,1
291,I parked illegally.,My car was rejuvenated.,I jumped the battery.,My car was rejuvenated.,1
292,She destroyed the evidence.,The woman got away with the crime.,Her accomplice was apprehended.,The woman got away with the crime.,0
293,Her accomplice was apprehended.,The woman got charged with the crime.,She destroyed the evidence.,The woman got charged with the crime.,0
294,The motorcyclist twisted the throttle.,The motorcycle shot forward.,The motorcyclist twisted the throttle.,The motorcycle coasted to a halt.,0
295,The motorcyclist let go of the throttle.,The motorcycle coasted to a halt.,The motorcyclist let go of the throttle.,The motorcycle shot forward.,0
296,The teacher caught the student chewing gum.,The student spit out the gum.,The teacher caught the student chewing gum.,The gum stuck to the student's shoe.,0
297,The teacher threw the chewing gum at the student.,The student spit out the gum.,The teacher threw the chewing gum at the student.,The gum stuck to the student's shoe.,1
298,The host served dinner to his guests.,His guests were gracious.,The host served dinner to his guests.,His guests went hungry.,0
299,The host served nothing to his guests.,His guests went hungry.,The host served nothing to his guests.,His guests were gracious.,0
300,A bird built a nest in the tree.,The boy climbed the tree.,A cat got stuck in the tree.,The boy climbed the tree.,1
301,A bird built a nest in the tree.,The boy avoided the tree.,A cat got stuck in the tree.,The boy avoided the tree.,0
302,The man carried the chair to his office.,The chair squeaked.,The man scooted the chair closer to his desk.,The chair squeaked.,1
303,The man carried the chair to his office.,The chair fell.,The man scooted the chair closer to his desk.,The chair fell.,0
304,It was bedtime for the children.,The father shut off the children's television.,The children were watching cartoons.,The father shut off the children's television.,0
305,The children were watching cartoons.,The father laughed at the children's television.,It was bedtime for the children.,The father laughed at the children's television.,0
306,He treaded water.,The man held his breath.,He went underwater.,The man held his breath.,1
307,He treaded water.,The man exhaled his breath.,He went underwater.,The man exhaled his breath.,0
308,I clumsily bumped into the stranger.,I ran away.,I clumsily bumped into the stranger.,I apologized to him.,1
309,I intentionally bumped into the stranger.,I ran away.,I intentionally bumped into the stranger.,I apologized to him.,0
310,It was caught in a hurricane.,The boat capsized.,The captain raised the sail.,The boat capsized.,0
311,It was caught in a hurricane.,The boat moved.,The captain raised the sail.,The boat moved.,1
312,He refused to talk to her.,The mother suspected that her son was lying.,He avoided making eye contact with her.,The mother suspected that her son was lying.,1
313,He refused to talk to her.,The mother suspected that her son was upset.,He avoided making eye contact with her.,The mother suspected that her son was upset.,0
314,Her friends stood her up.,The young woman was denied entrance into the bar.,She forgot her ID.,The young woman was denied entrance into the bar.,1
315,Her friends stood her up.,The young woman entered the bar alone.,She forgot her ID.,The young woman entered the bar alone.,0
316,A comet passed by the moon.,A crater formed on the moon.,A comet collided with the moon.,A crater formed on the moon.,1
317,A comet collided with the moon.,A crater did not form on the moon.,A comet passed by the moon.,A crater did not form on the moon.,1
318,I planted the seeds in the soil.,The seeds sprouted.,I planted the seeds in the soil.,I watered the soil.,0
319,The soil was dry.,I watered the soil.,The soil was dry.,The seeds sprouted.,0
320,He supported the cause behind his donation.,The benefactor requested to stay anonymous.,He wanted to maintain his privacy.,The benefactor requested to stay anonymous.,1
321,He supported the cause behind his donation.,The benefactor looked extremely excited.,He wanted to maintain his privacy.,The benefactor looked extremely excited.,0
322,The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,The doctor x-rayed the patient's arm.,He discovered that the patient's arm was broken.,1
323,The doctor discovered the patient's arm was broken.,He discovered that the patient's arm was broken.,The doctor discovered the patient's arm was broken.,He put the patient's arm in a cast.,1
324,The woman upgraded her computer hardware.,She deleted old files on the computer.,The woman upgraded her computer hardware.,She installed new software on the computer.,1
325,The woman wanted to sell her computer hardware.,She installed new software on the computer.,The woman wanted to sell her computer hardware.,She deleted old files on the computer.,1
326,The girl performed in a dance recital.,Her parents came to watch the recital.,The girl performed in a dance recital.,Her parents showed her how to dance.,0
327,The girl never learned to dance.,Her parents came to watch the recital.,The girl never learned to dance.,Her parents showed her how to dance.,1
328,The baby was wailing in his crib.,The mother picked up the baby.,The baby was wailing in his crib.,The baby crawled to the mother.,0
329,The baby's name was called.,The mother picked up the baby.,The baby's name was called.,The baby crawled to the mother.,1
330,The woman had a religious awakening.,She began going to church.,The woman had a religious awakening.,She began travelling abroad.,0
331,The woman wanted to change her environment.,She began travelling abroad.,The woman wanted to change her environment.,She began going to church.,0
332,The bureau drawers were cluttered.,I locked the drawers shut.,The bureau drawers were cluttered.,I threw away unnecessary contents.,1
333,The buerau drawers were opened.,I threw away unnecessary contents.,The buerau drawers were opened.,I locked the drawers shut.,1
334,He feigned interest in the class.,The student flaunted his test grade to his classmates.,He received a perfect score.,The student flaunted his test grade to his classmates.,1
335,He received a perfect score.,The student hid his test grade from his classmates.,He feigned interest in the class.,The student hid his test grade from his classmates.,1
336,He went away to camp.,The boy felt homesick.,He bickered with his sister.,The boy felt homesick.,0
337,He bickered with his sister.,The boy felt exhausted.,He went away to camp.,The boy felt exhausted.,0
338,The girl designed it.,The rocket flew up into the sky.,The girl launched it.,The rocket flew up into the sky.,1
339,The girl designed it.,The rocket looked pretty.,The girl launched it.,The rocket looked pretty.,0
340,The boy murmured his reply to his mother.,His mother told him to whisper.,The boy murmured his reply to his mother.,His mother told him to speak up.,1
341,The boy yelled his reply to his mother.,His mother told him to speak up.,The boy yelled his reply to his mother.,His mother told him to whisper.,1
342,Tornadoes were sighted in the area.,My flight got delayed.,I was held up at airport security.,My flight got delayed.,0
343,Tornadoes were sighted in the area.,My flight got rescheduled.,I was held up at airport security.,My flight got rescheduled.,1
344,I lit a candle.,The smoke alarm went off.,I burnt my dinner.,The smoke alarm went off.,1
345,I lit a candle.,The room became bright.,I burnt my dinner.,The room became bright.,0
346,The vase broke.,I stenciled it.,The vase broke.,I glued it back together.,1
347,The vase had a nice shape.,I glued it back together.,The vase had a nice shape.,I stenciled it.,1
348,She pounded on the door.,The woman felt an electric shock.,She grabbed the doorknob.,The woman felt an electric shock.,1
349,She grabbed the doorknob.,The woman felt extremely fatigued.,She pounded on the door.,The woman felt extremely fatigued.,1
350,The woman made him blush.,The man had lipstick on his cheek.,The woman kissed him.,The man had lipstick on his cheek.,1
351,The woman kissed him.,The man had a grin on his face.,The woman made him blush.,The man had a grin on his face.,1
352,The gardener wanted his plants to flourish.,He planted a variety of seeds.,The gardener wanted his plants to flourish.,He put fertilizer in the soil.,1
353,The gardener wanted more plants to flourish.,He put fertilizer in the soil.,The gardener wanted more plants to flourish.,He planted a variety of seeds.,1
354,The water was unsanitary.,A water pipe in the house burst.,The pipe froze.,A water pipe in the house burst.,1
355,The water was unsanitary.,A water pipe in the house was leaking.,The pipe froze.,A water pipe in the house was leaking.,0
356,The waistband on my pants was loose.,I put on a belt.,The waistband on my pants was loose.,I put on a hat.,0
357,The sun shined so bright.,I put on a belt.,The sun shined so bright.,I put on a hat.,1
358,Its products received positive consumer reviews.,The company lost money.,Some of its products were manufactured defectively.,The company lost money.,1
359,Its products received positive consumer reviews.,The company sold more products.,Some of its products were manufactured defectively.,The company sold more products.,0
360,They neglected to pay their rent.,The tenants were evicted from the apartment.,They got along with their landlord.,The tenants were evicted from the apartment.,0
361,They got along with their landlord.,The tenants lease for the apartment was extended.,They neglected to pay their rent.,The tenants lease for the apartment was extended.,0
362,The man woke up with a toothache.,He missed an appointment with the dentist.,The man woke up with a toothache.,He made an appointment with the dentist.,1
363,The man woke up late.,He missed an appointment with the dentist.,The man woke up late.,He made an appointment with the dentist.,0
364,The movie was rated R.,The parents forbade their children from watching the movie. ,The movie was animated.,The parents forbade their children from watching the movie. ,0
365,The movie was rated R.,The parents allowed their children to watch the movie.,The movie was animated.,The parents allowed their children to watch the movie.,1
366,The sender tried to solicit money from her.,The woman deleted the email.,The sender requested a response from her.,The woman deleted the email.,0
367,The sender tried to solicit money from her.,The woman read the email.,The sender requested a response from her.,The woman read the email.,1
368,The police interrogated her.,The police eliminated the woman from the list of suspects.,Her alibi checked out.,The police eliminated the woman from the list of suspects.,1
369,Her alibi checked out.,The police kept the woman on the list of suspects.,The police interrogated her.,The police kept the woman on the list of suspects.,1
370,The climbers reached the peak of the mountain.,They congratulated each other.,The climbers reached the peak of the mountain.,They encountered an avalanche.,0
371,The climbers failed to reach the peak of the mountain.,They congratulated each other.,The climbers failed to reach the peak of the mountain.,They encountered an avalanche.,1
372,The vandals threw a rock at the window.,The window cracked.,The vandals threw a rock at the window.,The window fogged up.,0
373,The vandals blew cold air at the window.,The window cracked.,The vandals blew cold air at the window.,The window fogged up.,1
374,The fortune teller's revelations were convincing.,She received many returning customers.,The fortune teller's revelations were convincing.,Many customers asked for refunds.,0
375,The fortune teller's revelations were false.,Many customers asked for refunds.,The fortune teller's revelations were false.,She received many returning customers.,0
376,She brushed her hair.,The woman's makeup smeared.,She wiped her eyes.,The woman's makeup smeared.,1
377,She brushed her hair.,The woman's head looked nice.,She wiped her eyes.,The woman's head looked nice.,0
378,The company's profits started to level off.,It increased its marketing efforts for new products.,The company's profits started to level off.,It moved its headquarters to a suburban location.,0
379,The company was seeking highly specialized talent.,It moved its headquarters to a suburban location.,The company was seeking highly specialized talent.,It increased its marketing efforts for new products.,0
380,The student's answer on the exam was incorrect.,The teacher subtracted points off the student's grade.,The student's answer on the exam was incorrect.,The teacher added bonus points to the student's grade.,0
381,The student's answer on the exam was extraordinary.,The teacher subtracted points off the student's grade.,The student's answer on the exam was extraordinary.,The teacher added bonus points to the student's grade.,1
382,The girl wanted to demonstrate proper etiquette.,She put her napkin on her lap before eating.,The girl wanted to demonstrate proper etiquette.,She threw away her napkin after eating.,0
383,The girl demonstrated poor etiquette.,She threw away her napkin after eating.,The girl demonstrated poor etiquette.,She put her napkin on her lap before eating.,0
384,The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,The detective flashed his badge to the police officer.,The police officer let the detective enter the crime scene.,1
385,The detective flashed his fake badge to the police officer.,The police officer confiscated the detective's badge.,The detective flashed his fake badge to the police officer.,The police officer let the detective enter the crime scene.,0
386,The girl wanted to make her mother happy.,The girl picked a flower for her mother.,The girl wanted to make her mother happy.,The girl ate the cookies her mother baked.,0
387,The girl wanted to make her mother happy for her effort.,The girl picked a flower for her mother.,The girl wanted to make her mother happy for her effort.,The girl ate the cookies her mother baked.,1
388,The toddler started crying.,Her parents took away her toy.,The toddler started crying.,Her parents gave her a toy.,1
389,The toddler started being naught.,Her parents gave her a toy.,The toddler started being naught.,Her parents took away her toy.,1
390,The man uncovered incriminating evidence against his enemy.,The man avoided his enemy.,The man uncovered incriminating evidence against his enemy.,The man blackmailed his enemy.,1
391,The man discovered his enemy uncovered incriminating evidence against him.,The man avoided his enemy.,The man discovered his enemy uncovered incriminating evidence against him.,The man blackmailed his enemy.,0
392,The girl pushed herself off the top of the slide.,She glided down the slide.,The girl pushed herself off the top of the slide.,She crawled up the slide.,0
393,The girl wanted to get on top of the slide.,She glided down the slide.,The girl wanted to get on top of the slide.,She crawled up the slide.,1
394,The child disobeyed her parents.,Her parents punished her.,The child disobeyed her parents.,Her parents hugged her.,0
395,The child obeyed her parents.,Her parents hugged her.,The child obeyed her parents.,Her parents punished her.,0
396,My friend paid for my ticket.,I paid her back.,My friend paid for my ticket.,I sought a refund.,0
397,I paid for friend's my ticket.,I paid her back.,I paid for friend's my ticket.,I sought a refund.,1
398,She was framed.,The woman was wrongly convicted for the crime.,The jury was fair.,The woman was wrongly convicted for the crime.,0
399,The jury was fair.,The woman was correctly convicted for the crime.,She was framed.,The woman was correctly convicted for the crime.,0
400,The girl applied the scissors to the paper.,The paper crinkled.,The girl applied the scissors to the paper.,The paper sliced apart.,1
401,The girl clenched the paper her in her fist.,The paper crinkled.,The girl clenched the paper her in her fist.,The paper sliced apart.,0
402,She distrusted them.,The woman visited her family.,She missed them.,The woman visited her family.,1
403,She distrusted them.,The woman refused to visit her family.,She missed them.,The woman refused to visit her family.,0
404,I burst into a fit of laughter.,My teeth began to chatter.,I burst into a fit of laughter.,My eyes welled up with tears.,1
405,I burst into a cold room.,My teeth began to chatter.,I burst into a cold room.,My eyes welled up with tears.,0
406,The school principal implemented a dress code.,Students were expelled from school.,The school principal implemented a dress code.,Students protested the decision.,1
407,The school principal effected the honor code.,Students were expelled from school.,The school principal effected the honor code.,Students protested the decision.,0
408,I blew into it.,The balloon expanded.,I pricked it.,The balloon expanded.,0
409,I pricked it.,The balloon poped.,I blew into it.,The balloon poped.,0
410,I wanted to lighten the mood of the conversation.,I remained quiet.,I wanted to lighten the mood of the conversation.,I told a joke.,1
411,I wanted to tense up the mood of the conversation.,I remained quiet.,I wanted to tense up the mood of the conversation.,I told a joke.,0
412,He got a hole in his sock.,The man broke his toe.,He dropped a hammer on his foot.,The man broke his toe.,1
413,He got a hole in his sock.,The man hid his feet.,He dropped a hammer on his foot.,The man hid his feet.,0
414,The man had an attack of conscience.,He manipulated his friend.,The man had an attack of conscience.,He admitted his indiscretion.,1
415,The man had a dead conscience.,He manipulated his friend.,The man had a dead conscience.,He admitted his indiscretion.,0
416,A fistfight broke out in the hall of the school.,The principal suspended the students involved.,A fistfight broke out in the hall of the school.,The principal called off classes for the day.,0
417,A gas tank burst in the hall of the school.,The principal called off classes for the day.,A gas tank burst in the hall of the school.,The principal suspended the students involved.,0
418,The family reminisced over the photos.,The photo albums collected dust in the attic.,They remained untouched for years.,The photo albums collected dust in the attic.,1
419,The family reminisced over the photos.,The photo album collection was treasured.,They remained untouched for years.,The photo album collection was treasured.,0
420,Everyone in the room was talking.,I got distracted from my conversation with the woman.,The woman was telling a funny story.,I got distracted from my conversation with the woman.,0
421,The woman was telling a funny story.,I got hooked to my conversation with the woman.,Everyone in the room was talking.,I got hooked to my conversation with the woman.,0
422,I put coins in the washing machine at the laundromat.,I ran out of laundry detergent.,I put coins in the washing machine at the laundromat.,The machine powered on.,1
423,I had too many clothes to wash at the laundromat.,The machine powered on.,I had too many clothes to wash at the laundromat.,I ran out of laundry detergent.,1
424,The forecast called for storms.,The family postponed the barbeque.,It was a holiday weekend.,The family postponed the barbeque.,0
425,The forecast called for storms.,The family had the barbeque.,It was a holiday weekend.,The family had the barbeque.,1
426,It was inflated.,Air leaked out of the beach ball.,There was a hole in it.,Air leaked out of the beach ball.,1
427,There was a hole in it.,The beach ball bounced.,It was inflated.,The beach ball bounced.,1
428,Our group's conversation gradually lulled to silence.,I felt awkward.,Our group's conversation gradually lulled to silence.,I became enraged.,0
429,Our group's conversation gradually escalated.,I felt awkward.,Our group's conversation gradually escalated.,I became enraged.,1
430,I clenched the candy wrapper in my fist.,The wrapper crinkled.,I clenched the candy wrapper in my fist.,The wrapper ripped.,0
431,I pulled apart the candy wrapper with my hands.,The wrapper ripped.,I pulled apart the candy wrapper with my hands.,The wrapper crinkled.,0
432,The woman pressed down on the piano key.,The key got stuck.,The woman pressed down on the piano key.,A sound played.,1
433,The woman dropped syrup on the piano.,A sound played.,The woman dropped syrup on the piano.,The key got stuck.,1
434,The girl met her favorite actor.,She asked him for his autograph.,The girl met her favorite actor.,She went to see his new film.,0
435,The girl saw a trailer of her favorite actor.,She went to see his new film.,The girl saw a trailer of her favorite actor.,She asked him for his autograph.,0
436,It was foggy.,The vehicles travelled slowly.,It was cloudy.,The vehicles travelled slowly.,0
437,It was cloudy.,The people carried the umbrellas.,It was foggy.,The people carried the umbrellas.,0
438,The chandelier's lights flickered on and off.,The chandelier shattered on the floor.,The chandelier dropped from the ceiling.,The chandelier shattered on the floor.,1
439,The chandelier's lights flickered on and off.,The chandelier was removed from the ceiling.,The chandelier dropped from the ceiling.,The chandelier was removed from the ceiling.,0
440,It scratched me.,The cat purred.,I petted it.,The cat purred.,1
441,It scratched me.,I snapped at the cat.,I petted it.,I snapped at the cat.,0
442,The boy pushed his sister.,They played hide and seek.,The boy pushed his sister.,His sister tattled on him.,1
443,The boy found his sister.,They played hide and seek.,The boy found his sister.,His sister tattled on him.,0
444,The man gained weight.,He got his suit altered.,The man gained weight.,He got his shoes shined.,0
445,The man stepped in the mud.,He got his suit altered.,The man stepped in the mud.,He got his shoes shined.,1
446,The clouds looked dark.,I brought my umbrella to work.,The clouds looked dark.,I brought my laptop to work.,0
447,The cloud computer was blocked.,I brought my umbrella to work.,The cloud computer was blocked.,I brought my laptop to work.,1
448,The engine of the airplane was faulty.,The airplane crashed.,The engine of the airplane was faulty.,The pilot made an error.,0
449,The passenger on the airplane made a distracting noise.,The airplane crashed.,The passenger on the airplane made a distracting noise.,The pilot made an error.,1
450,A screaming ambulance approached.,Cars moved to the shoulder of the road.,The traffic light turned green.,Cars moved to the shoulder of the road.,0
451,The traffic light turned green.,Cars moved to the intersection of the road.,A screaming ambulance approached.,Cars moved to the intersection of the road.,0
452,The bar was slippery.,The boy lost hold of the bar of soap.,The bar emitted a fragrance.,The boy lost hold of the bar of soap.,0
453,The bar emitted a fragrance.,The boy lost sniffed the bar of soap.,The bar was slippery.,The boy lost sniffed the bar of soap.,0
454,The button on my shirt fell off.,I sewed the button back on.,The button on my shirt fell off.,I glued the button back on.,0
455,The button on my laptop fell off.,I sewed the button back on.,The button on my laptop fell off.,I glued the button back on.,1
456,She wanted to avoid recognition.,The celebrity wore sunglasses.,She wanted to thank her fans.,The celebrity wore sunglasses.,0
457,She wanted to avoid recognition.,The celebrity took off her sunglasses.,She wanted to thank her fans.,The celebrity took off her sunglasses.,1
458,My grandmother passed away.,My family held a reunion.,My grandmother passed away.,My family held a funeral.,1
459,My grandmother passed by.,My family held a reunion.,My grandmother passed by.,My family held a funeral.,0
460,The police officer pulled over the celebrity.,The celebrity sued the police officer.,The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,1
461,The police officer pulled the celebrity by the wrist.,The celebrity offered the officer a bribe.,The police officer pulled the celebrity by the wrist.,The celebrity sued the police officer.,1
462,The assailant took the man's wallet.,The man fell unconscious.,The assailant struck the man in the head.,The man fell unconscious.,1
463,The assailant struck the man in the head.,The man lost the credit card.,The assailant took the man's wallet.,The man lost the credit card.,1
464,He looked familiar.,I approached the man.,He looked busy.,I approached the man.,0
465,He looked familiar.,I did not approach the man.,He looked busy.,I did not approach the man.,1
466,He fought poverty.,The leader received praise.,He raised taxes.,The leader received praise.,0
467,He fought poverty.,The leader received opposition.,He raised taxes.,The leader received opposition.,1
468,The man read the cartoon in the newspaper.,He chuckled.,The man read the cartoon in the newspaper.,He sipped coffee.,0
469,The man felt cold while reading the newspaper.,He chuckled.,The man felt cold while reading the newspaper.,He sipped coffee.,1
470,I went on vacation for two weeks.,My mailbox was overflowing with letters.,The lid on the mailbox broke.,My mailbox was overflowing with letters.,0
471,The lid on the mailbox broke.,The letters were blown from my mailbox.,I went on vacation for two weeks.,The letters were blown from my mailbox.,0
472,The bananas ripened.,We ate them.,The bananas ripened.,We squeezed them.,0
473,The pimples ripened.,We squeezed them.,The pimples ripened.,We ate them.,0
474,The chef pressed down on the dough.,The dough flattened.,The chef pressed down on the dough.,The dough crumbled.,0
475,The chef pressed down on the dry dough.,The dough flattened.,The chef pressed down on the dry dough.,The dough crumbled.,1
476,The potter put the clay in the oven.,The clay hardened.,The potter rolled the clay into a ball.,The clay hardened.,0
477,The potter put the clay in the oven.,The clay took shape.,The potter rolled the clay into a ball.,The clay took shape.,1
478,I went swimming.,My feet were blistered.,I went hiking.,My feet were blistered.,1
479,I went hiking.,My skin was dry.,I went swimming.,My skin was dry.,1
480,The woman betrayed her friend.,Her friend cut off contact with her.,The woman betrayed her friend.,Her friend sent her a greeting card.,0
481,The woman stood by her friend.,Her friend cut off contact with her.,The woman stood by her friend.,Her friend sent her a greeting card.,1
482,He caught a whiff of her perfume.,The man took notice of the woman.,He had his back turned to her.,The man took notice of the woman.,0
483,He had his back turned to her.,The man never noticed the woman.,He caught a whiff of her perfume.,The man never noticed the woman.,0
484,The woman and her boyfriend got into a fight.,They planned a vacation together.,The woman and her boyfriend got into a fight.,They stopped seeing each other.,1
485,The woman and her boyfriend got engaged.,They stopped seeing each other.,The woman and her boyfriend got engaged.,They planned a vacation together.,1
486,The bully stuck his foot out in front of his classmate.,The bully picked up his classmate.,The bully stuck his foot out in front of his classmate.,The bully's classmate tripped.,1
487,The bully stuck did not like his classmate.,The bully picked up his classmate.,The bully stuck did not like his classmate.,The bully's classmate tripped.,0
488,The man wanted to get revenge on his enemy.,The man declared a truce with his enemy.,The man wanted to get revenge on his enemy.,The man framed his enemy for a crime.,1
489,The man wanted to get peace with his enemy.,The man declared a truce with his enemy.,The man wanted to get peace with his enemy.,The man framed his enemy for a crime.,0
490,I drank a cup of coffee.,I nodded off to sleep.,I drank a cup of coffee.,My yawning ceased.,1
491,I drank a glass of whisky.,My yawning ceased.,I drank a glass of whisky.,I nodded off to sleep.,1
492,The woman was close with her sister.,The woman was mistaken for her sister.,The woman looked like her sister.,The woman was mistaken for her sister.,1
493,The woman looked like her sister.,The woman invited her sister for coffee.,The woman was close with her sister.,The woman invited her sister for coffee.,1
494,He checked his work.,The man made an error in his calculations.,His work was hasty.,The man made an error in his calculations.,1
495,His work was hasty.,The man never made an error in his calculations.,He checked his work.,The man never made an error in his calculations.,1
496,She entered the sauna.,The woman's eyeglasses fogged up.,She reclined by the pool.,The woman's eyeglasses fogged up.,0
497,She reclined by the pool.,The woman left her eyeglasses on.,She entered the sauna.,The woman left her eyeglasses on.,0
498,The shopper wondered about the cost of the item.,He decided to buy it.,The shopper wondered about the cost of the item.,He checked its price tag.,1
499,The shopper won a discount on the cost of the item.,He decided to buy it.,The shopper won a discount on the cost of the item.,He checked its price tag.,0
500,The contestant rang the buzzer.,The host of the trivia show called on the contestant for an answer.,The contestant was in the lead.,The host of the trivia show called on the contestant for an answer.,0
501,The contestant rang the buzzer.,The host of the trivia show called on the contestant to pick a category.,The contestant was in the lead.,The host of the trivia show called on the contestant to pick a category.,1
502,He watched a horror movie.,The boy was afraid to go to bed.,He turned on his nightlight.,The boy was afraid to go to bed.,0
503,He turned on his nightlight.,The boy was struggling to fall asleep.,He watched a horror movie.,The boy was struggling to fall asleep.,0
504,The woman wanted to be a doctor.,She visited the hospital.,The woman wanted to be a doctor.,She went to medical school.,1
505,The woman wanted to see a doctor.,She went to medical school.,The woman wanted to see a doctor.,She visited the hospital.,1
506,The boy found the television show boring.,He recorded it.,The boy found the television show boring.,He shut it off.,1
507,The boy found the television show interesting.,He shut it off.,The boy found the television show interesting.,He recorded it.,1
508,My daughter suffered an allergy attack.,I took her to the emergency room.,My daughter suffered an allergy attack.,I encouraged her to take deep breaths.,0
509,My daughter suffered an panic attack.,I encouraged her to take deep breaths.,My daughter suffered an panic attack.,I took her to the emergency room.,0
510,The boy had trouble buttoning his shirt.,He refused to wear the shirt.,The boy had trouble buttoning his shirt.,He asked his mother for help.,1
511,The boy had trouble buttoning his tight shirt.,He asked his mother for help.,The boy had trouble buttoning his tight shirt.,He refused to wear the shirt.,1
512,I blew a bubble with the gum.,I spit out my chewing gum.,The gum lost its flavor.,I spit out my chewing gum.,1
513,The gum lost its flavor.,I enjoyed my chewing gum.,I blew a bubble with the gum.,I enjoyed my chewing gum.,1
514,The boy painted a picture for his mother.,His mother sold the picture to a gallery.,The boy painted a picture for his mother.,His mother hung the picture on the wall.,1
515,The mother no longer needed her son's picture.,His mother sold the picture to a gallery.,The mother no longer needed her son's picture.,His mother hung the picture on the wall.,0
516,The competition ended.,The teams shook hands.,The competition ended.,The teams got pumped up.,0
517,The finals were approaching.,The teams shook hands.,The finals were approaching.,The teams got pumped up.,1
518,She liked fast food.,The girl politely declined the hamburger.,She was a vegetarian.,The girl politely declined the hamburger.,1
519,She was a vegetarian.,The girl politely accepted the hamburger.,She liked fast food.,The girl politely accepted the hamburger.,1
520,I scrubbed the stain on the floor.,I got rid of the stain.,I scrubbed the stain on the floor.,I got dirt on the floor.,0
521,I smeared the stain on the floor.,I got rid of the stain.,I smeared the stain on the floor.,I got dirt on the floor.,1
522,The documents contained important information.,I kept them in a secure place.,The documents contained important information.,I paper clipped them together.,0
523,The documents were loose.,I paper clipped them together.,The documents were loose.,I kept them in a secure place.,0
524,I dropped it.,The egg splattered.,I boiled it.,The egg splattered.,0
525,I dropped it.,The egg hardened.,I boiled it.,The egg hardened.,1
526,The girl pushed her friend.,Her friend choked.,The girl pushed her friend.,Her friend fell over.,1
527,The girl strangled her friend.,Her friend choked.,The girl strangled her friend.,Her friend fell over.,0
528,A group of teenagers crashed the party.,The host of the party kicked them out.,A group of teenagers crashed the party.,The host of the party invited them in.,0
529,A group of teenagers helped organizing the party.,The host of the party kicked them out.,A group of teenagers helped organizing the party.,The host of the party invited them in.,1
530,He opened a new bar of soap.,The man took a shower.,He was sweaty from working out.,The man took a shower.,1
531,He was sweaty from working out.,The man felt clean.,He opened a new bar of soap.,The man felt clean.,1
532,The book became a huge bestseller.,The author faded into obscurity.,The book became a huge bestseller.,It was adapted into a movie.,1
533,The book became a huge failure.,The author faded into obscurity.,The book became a huge failure.,It was adapted into a movie.,0
534,He was cured of cancer.,The man felt thankful to be alive.,His wife was diagnosed with cancer.,The man felt thankful to be alive.,0
535,His wife was diagnosed with cancer.,The man felt depressed.,He was cured of cancer.,The man felt depressed.,0
536,She received her monthly bill.,The woman wrote a check to the gas company.,She preferred paying by cash.,The woman wrote a check to the gas company.,0
537,She received her monthly bill.,The woman never used her credit card.,She preferred paying by cash.,The woman never used her credit card.,1
538,She made a lot of money in her current occupation.,The woman felt reluctant to switch careers.,She endured a lot of stress in her current occupation.,The woman felt reluctant to switch careers.,0
539,She made a lot of money in her current occupation.,The woman quit her job recently.,She endured a lot of stress in her current occupation.,The woman quit her job recently.,1
540,The man stalked her.,The woman filed a restraining order against the man.,The man called her.,The woman filed a restraining order against the man.,0
541,The man called her.,The woman answered the phone.,The man stalked her.,The woman answered the phone.,0
542,The ocean tide was dangerous.,The swimmers put on more sunscreen.,The ocean tide was dangerous.,The swimmers returned towards the shore.,1
543,The sun shined very brightly.,The swimmers put on more sunscreen.,The sun shined very brightly.,The swimmers returned towards the shore.,0
544,She was familiar with the bartender.,The woman refused a second beer.,She was the designated driver for the night.,The woman refused a second beer.,1
545,She was familiar with the bartender.,The woman stayed late in the bar.,She was the designated driver for the night.,The woman stayed late in the bar.,0
546,I climbed several flights of stairs.,I ran out of breath.,I read several chapters of the book.,I ran out of breath.,0
547,I read several chapters of the book.,I understood the story.,I climbed several flights of stairs.,I understood the story.,0
548,The woman was deemed mentally ill.,She was sent to a psychiatric institution.,The woman was deemed mentally ill.,She sought a career as a psychiatrist.,0
549,The woman studied mental disorder treatment.,She was sent to a psychiatric institution.,The woman studied mental disorder treatment.,She sought a career as a psychiatrist.,1
550,The sun emerged from the clouds.,The woman glanced at her watch.,The sun emerged from the clouds.,The woman took her sweater off.,1
551,The woman worried whether she would be late.,The woman took her sweater off.,The woman worried whether she would be late.,The woman glanced at her watch.,1
552,He whistled whenever a player scored a touchdown.,The football coach lost his voice after the game.,He yelled whenever a player fumbled the ball.,The football coach lost his voice after the game.,1
